Company,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ACC,01-JAN-2016,04-APR-2022,1549 days,100000.0,49215.61581810929,-50.78438418189071,54.29330615513494,100.0,36984.37759146525,57.492791881119786,1358 days,101,101,0,0.0,50.495049504950494,9.230846672240288,-27.264693925433765,1.443772855622311,-2.691740571241717,3 days 13:38:49.411764705,10 days 04:48:00,0.4987414067071166,-502.8156849692158,-107.03558734523271,-0.2675952444492093,0.0007151519364456216,-19.038702995178895
AUBANK,10-JUL-2017,04-APR-2022,1174 days,100000.0,41099.45485428464,-58.90054514571537,141.61358811040228,100.0,22230.751396648593,74.66558120959465,1056 days,67,67,0,0.0,59.70149253731343,11.804814560729858,-62.57125837556053,2.3699531071049282,-5.297136833365369,3 days 08:24:00,12 days 16:00:00,0.46046640160556124,-879.1126141151549,-73.0800934604208,-0.32347745645443654,0.000665000882845541,-18.96325121647255
ADANIPORTS,01-JAN-2016,04-APR-2022,1549 days,100000.0,87071.05870236474,-12.92894129763526,205.94281442720893,100.0,55731.47445408921,56.15750187970882,1147 days,109,109,0,0.0,62.38532110091744,5.482064743571211,-29.644191604322522,1.9347117871313158,-3.2840302821170106,2 days 20:28:14.117647058,10 days 15:13:10.243902439,0.9097591132382653,-118.61414034527729,-83.00291037608669,-0.057154212652588084,0.0009007860866920748,-18.99584373494209
ADANIPOWER,01-JAN-2016,04-APR-2022,1476 days,100000.0,34109.95759922266,-65.89004240077733,523.3823529411779,100.0,21584.22663750238,89.71610280731893,1402 days,89,89,0,0.0,64.04494382022472,13.135534949035211,-45.241640217637716,2.836565361506379,-7.1236087225668765,3 days 18:31:34.736842105,15 days 09:45:00,0.477536255917713,-740.3375550649135,-57.09413230474952,-0.26031649649051175,0.006122865608314454,-18.87739434046718
ADANITRANS,30-OCT-2018,04-APR-2022,682 days,100000.0,104867.472650865,4.867472650865006,1408.9175891758914,100.0,22285.155588653568,50.36266951475682,362 days,41,41,0,0.0,70.73170731707317,12.742190385604271,-38.740348284411496,2.717909890100434,-5.134119790363161,2 days 22:20:41.379310344,11 days 08:00:00,1.0625864681556185,118.71884514304838,-69.91326600137272,0.05115370351801458,0.002522792948244185,-18.95230655955441
ABCAPITAL,15-SEP-2017,04-APR-2022,1125 days,100000.0,22646.69425712897,-77.35330574287103,-43.96063960639635,100.0,14028.388747239325,84.6018260034387,1073 days,69,69,0,0.0,60.86956521739131,9.265754730820024,-50.92994258539695,2.2631674956619117,-7.791485651896275,3 days 09:08:34.285714285,18 days 18:40:00,0.2991276719792557,-1121.0624020705948,-73.14790330018663,-0.45195329102083487,0.0006362359492712713,-18.96233367704986
ABFRL,29-JAN-2016,04-APR-2022,1530 days,100000.0,56932.187855924676,-43.067812144075326,34.390463337831825,100.0,42235.73951655325,66.73928259715147,1476 days,98,98,0,0.0,56.12244897959183,11.712727979625285,-53.5452664579601,2.415374203659053,-3.7348459318984366,3 days 02:37:05.454545454,12 days 02:47:26.511627907,0.7135199730821727,-439.4674708579123,-76.89145342405975,-0.18841366785114239,0.0011609190295325455,-18.977493172158002
AJANTPHARM,01-JAN-2016,04-APR-2022,1549 days,100000.0,35024.526055051174,-64.97547394494883,31.77671834528395,100.0,33442.956588346744,69.70689865068341,1449 days,113,112,1,-2087.5494725867757,53.57142857142857,7.270194427602264,-26.931129369475958,1.3439420150803199,-3.2236279553537277,1 days 23:36:00,11 days 15:41:32.307692307,0.4182514034227937,-561.4993256460896,-100.9087821583133,-0.3142068995940585,0.00014365744471732958,-19.030226477014256
ALKEM,01-JAN-2016,04-APR-2022,1549 days,100000.0,61261.69462386658,-38.738305376133425,131.16891757035475,100.0,39968.66499057814,41.9820683083661,1528 days,101,100,1,-634.4937994042193,47.0,10.840843797169564,-11.740432072446062,1.5651968015779518,-2.2033992349234333,2 days 19:54:53.617021276,10 days 12:13:35.094339622,0.6006039841196753,-381.03811576729197,-119.76956641858592,-0.25975004877617247,0.0008360062715486821,-19.05208940278025
AMARAJABAT,01-JAN-2016,04-APR-2022,1549 days,100000.0,32668.06087043615,-67.33193912956385,-34.7743385785924,100.0,36837.697929269285,72.47347891554938,1455 days,106,106,0,0.0,45.28301886792453,8.494092089364237,-33.03437760036854,1.9786742623127092,-3.3148924729323506,2 days 07:00:00,12 days 02:04:08.275862069,0.4740571642628855,-635.2069729204147,-94.03916555838546,-0.3197539543006453,0.0006224879083935454,-19.018942757355045
AMBUJACEM,01-JAN-2016,04-APR-2022,1549 days,100000.0,50945.312061510274,-49.05468793848973,51.543885241915596,100.0,38094.042450329085,56.98208994710653,1372 days,103,103,0,0.0,58.252427184466015,9.650368707764944,-20.129347009189356,1.3718531496557143,-3.2573728648699722,3 days 07:36:00,11 days 16:11:09.767441860,0.543919322935691,-476.2591061989299,-100.00238150292962,-0.2578578683900102,0.00041984165980545605,-19.02914957188996
APOLLOHOSP,01-JAN-2016,04-APR-2022,1549 days,100000.0,55821.8275834477,-44.1781724165523,212.49657721796146,100.0,38103.343687204266,56.779986332726374,1518 days,110,109,1,-1663.878406538177,55.96330275229357,9.823389899751174,-22.066824691542337,1.6849041299733456,-3.101943478260041,2 days 18:29:30.491803278,10 days 18:30:00,0.6071267577986104,-390.0393945872853,-92.07578195961594,-0.2260627633419805,0.0015200255294387675,-19.01573526528008
APOLLOTYRE,01-JAN-2016,04-APR-2022,1549 days,100000.0,39648.107230480186,-60.35189276951981,24.213836477987915,100.0,41146.96200444561,74.52074097559277,1478 days,113,113,0,0.0,56.63716814159292,7.60790957389136,-45.83335133295369,1.8492066274993877,-3.7992014937457097,3 days 06:45:00,11 days 02:26:56.326530612,0.5779906287873127,-534.0875466329195,-80.5380867463202,-0.2628382717457799,0.0005416451873256874,-18.98825145290753
ASHOKLEY,01-JAN-2016,04-APR-2022,1549 days,100000.0,28386.283735998033,-71.61371626400197,36.26126126126137,100.0,26097.77465636914,83.18937309373972,1470 days,88,88,0,0.0,59.09090909090909,12.10853522721388,-40.07086862818156,2.2437873732927933,-6.070102700197281,3 days 14:18:27.692307692,14 days 20:40:00,0.4512351514948584,-813.7922302727492,-64.13301009644917,-0.3086376477352086,0.0037869994916099304,-18.92405382943207
ASIANPAINT,01-JAN-2016,04-APR-2022,1549 days,100000.0,54526.3749726672,-45.4736250273328,254.822190611663,100.0,37467.16921022804,52.91140204096695,1356 days,104,104,0,0.0,48.07692307692308,7.780852259711846,-24.305850050716888,1.2274672336943373,-2.137146002543854,2 days 07:40:48,8 days 18:13:20,0.48196785649781915,-437.2463944935845,-116.7698517747731,-0.25168060681661636,0.0002532209628881138,-19.049290395465302
AUROPHARMA,01-JAN-2016,04-APR-2022,1549 days,100000.0,30211.357751428877,-69.78864224857112,-21.443158611299683,100.0,24632.7572924381,76.60850320340997,1529 days,96,96,0,0.0,55.208333333333336,20.76927344574142,-25.522200808175512,2.2837721814766714,-5.0804020257603995,3 days 01:21:30.566037735,14 days 06:08:22.325581395,0.4291919016520541,-726.9650234226158,-70.58138109256096,-0.3208001478038346,0.0034630571374322794,-18.95372196738473
AXISBANK,01-JAN-2016,04-APR-2022,1549 days,100000.0,64353.72229244334,-35.64627770755666,74.2831740386754,100.0,47377.52913256744,69.14942115332427,1374 days,114,114,0,0.0,60.526315789473685,11.53459012586942,-32.09842389937961,1.6350660133211046,-3.1898232281856482,2 days 22:15:39.130434782,9 days 11:44:00,0.7104843036253219,-312.686646557515,-76.37221446246006,-0.14266320790805606,0.002479842696571358,-18.976481857521073
